"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SH.TBL01NL","SH.TBL02NL","SH.TBL04NL","SH.TBL05NL","SH.TBL06NL","SH.TBL07NL","SH.TBL08NL","SH.TBL09NL","SH.TBL10NL","SH.TBL11NL","SH.TBL13NL","SH.TBL14NL","SH.TBL15NL","SH.TBL01C","SH.TBL01I","SH.TBL01E","SH.TBL02I","SH.TBL02E","SH.TBL04C","SH.TBL04I","SH.TBL04E","SH.TBL05I","SH.TBL05E","SH.TBL06C","SH.TBL06E","SH.TBL07I","SH.TBL07E","SH.TBL08I","SH.TBL08E","SH.TBL09I","SH.TBL09E","SH.TBL10I","SH.TBL10E","SH.TBL11C","SH.TBL11I","SH.TBL11E","SH.TBL13I","SH.TBL13E","SH.TBL14C","SH.TBL14I","SH.TBL14E","SH.TBL15C","SH.TBL15I","SH.TBL15E"
"FCRL3","FCRL3",161.888406126101,2.20188767725447,0.34045662273292,6.46745438399591,9.96676132267598e-11,7.81583930770609e-08,5.84552829308375,5.7430883263539,6.63247705568869,6.01344302385367,6.66793015730453,6.26278892550697,5.57274787719866,6.12417457761237,6.40793407391536,5.96607260305718,6.43562355940207,5.90624789960582,6.33050797669068,7.04934610711299,6.51900382648423,6.04593882707644,5.71691400008477,6.32356016966851,7.57598387204823,7.29418529965486,5.70798060647525,8.49548919780391,8.31754418615362,7.53703968773743,7.5445115267348,7.28160624445844,6.32633376494003,7.47922434305103,7.14334953338528,7.66900114781971,7.01209429460163,7.9482374193357,8.10765844458706,7.83675068735815,7.58844474315315,7.63874467902735,7.3460124587854,7.25981898262365,7.09557238021697,7.18262156119218,6.17745703310863,7.45710156465384,6.72874584487512,6.73717411960861
"IGLV2-18","IGLV2-18",188.375777360274,3.73153590247454,0.577867301466982,6.45742697848038,1.06498109782227e-10,7.9718675995169e-08,5.09238839669131,4.82251871527693,5.26884468828882,5.07280452837253,5.40084133206903,5.72587462348789,5.53976454215166,5.40644088276025,5.10719413694525,5.59642983472804,6.11199860339503,4.96670239554122,4.78773109676232,5.92851745615185,5.65453214313012,5.25089754806628,4.96948032110927,7.02785575470062,8.60028160661593,5.16357189502037,4.9262236483866,7.79784970208849,7.02266521793849,7.17757891238212,6.6224455567304,7.07456085188629,5.70737393073016,7.12682639065845,6.90971547558372,6.43750707671173,5.9713462617101,6.88586639229163,6.52753184944136,8.65193526509651,8.65189063922258,8.77239432236068,5.83013775048316,5.80011039024671,8.58328669791957,8.9928136921772,5.57776026555991,5.80296535022308,5.49421201189748,5.25230987448598
"PAX5","PAX5",175.41236443506,2.9562053055237,0.462812383211319,6.38748100258568,1.68640550798763e-10,1.20746634371914e-07,5.73660496502164,5.3459013916943,6.34448995080236,5.55614329746201,6.69453775564499,6.16235505338368,5.14183112267514,5.53595492059001,5.37557548546966,5.55741789232817,6.458463273116,5.33917476460301,5.49314735304765,6.57938633515074,6.59106818754943,5.28388049601269,5.57681789672928,6.43677897055382,7.40569169061825,7.06663110998571,5.17638057859383,8.44527509090327,8.27391961136068,7.76047557737716,7.72939103830693,7.53232204390885,6.0255932522802,7.73338615324362,7.36666654934912,7.56801788154052,6.95676494284097,7.97910977032717,8.3320987310004,7.94197608453966,7.9736644643641,7.93659439512237,7.94699522878231,7.70666695316133,6.65684210343602,6.9508436172128,5.62757061332524,7.19376497254904,6.72967788047267,6.08599144706007
"MMP1","MMP1",631.217021237161,4.49688248341191,0.712474774027405,6.31163747453455,2.76098383676997e-10,1.77484494499915e-07,5.69411865599376,7.59804400152497,6.70128078679082,5.40831261721252,5.40787814182402,5.52897576971104,6.28234563406729,5.57222466678187,5.44470617536989,5.44346576631601,6.56599011974164,6.62171504488081,5.41758550314524,8.49392042839884,6.53469104476155,6.1929777235987,7.74429511989715,7.67820825246762,8.34205282818887,9.29294885007219,6.83826257139474,9.05879980814795,8.92411022430544,5.59868834353999,5.47959648913911,7.33322387738723,5.8061215762107,8.04722180342572,7.98712389691897,6.22721921563976,5.63530416779736,10.2633727966199,8.06567500819175,11.2781737875503,8.91032672953459,8.90358370729079,7.61142361121572,8.85450909181699,9.71088858099904,9.31792128722801,6.34442610094381,9.24924854728396,8.25539526206542,5.37463300789146
"GMDS","GMDS",125.425063117149,0.613264095738056,0.0972477849087003,6.30620117788606,2.8596728762317e-10,1.77484494499915e-07,6.4617217523624,6.846280702393,6.78926435596496,6.60040916396798,6.78463947673724,6.69305151560507,6.55720915385073,6.64107822879532,6.6562143667802,6.74231809134247,7.0210923648916,6.5280520476467,6.81890755005902,7.14263949737138,7.0065328352357,6.92460778696726,7.02809907962103,7.03658553381339,7.01905934967696,7.00716459296264,6.63430860236108,7.05312582545318,7.17037452648408,7.2050339305427,7.02941491019313,7.12331692064881,6.7643412980873,6.86448722275408,6.99127014668653,6.98394569459404,6.98265572525906,7.04418663946873,7.04873297320183,7.1218020376211,7.31439520784516,7.39300891673738,7.08048531307025,7.05319715967893,7.14798787116666,7.12476960059399,6.95194679140886,6.91185336754047,6.95784185774063,6.75909737004472
"ENSG00000168918","ENSG00000168918",1213.36881002932,0.839889925902713,0.133193849115896,6.30577111088592,2.86762560396797e-10,1.77484494499915e-07,9.63136212361404,9.96109536403785,9.93289125487848,9.59246134982039,9.90643597257848,9.7339935250884,9.56967691070546,9.66699014590114,9.83230262167637,9.86127379365941,10.0934182243073,9.76233911484027,9.84145371828088,10.6634242489774,10.5133429131821,10.0761584553077,9.82850352756335,10.0223243569488,10.3986206154737,10.364058057293,9.67792436634296,10.6205473885687,10.4691983582291,10.3721914652362,10.3698889873522,10.3389212706394,9.804829870006,10.4178179226852,10.2694709912569,10.2506490677889,10.0574155322878,10.5559722708825,10.6130295424788,10.830730990716,10.6678155749318,10.6661213779942,10.5372839513749,10.461978815962,10.5578930718898,10.1961729647307,9.81192995662548,10.2066284383616,10.0264167770578,9.88872028476401
"BLNK","BLNK",222.940651696536,1.37020043375063,0.217371284404011,6.30350249577558,2.90993523894687e-10,1.77484494499915e-07,6.97783047879525,7.0820109589414,7.46665144816488,7.00397720781466,7.25546710923973,7.30328428001829,6.87297708524077,7.19406682845032,6.87590897153096,6.73175264445054,7.40260589310485,7.1584201364917,6.7961720307092,7.85256279698713,7.41627329654727,6.7313417290847,7.45403717553501,7.27237958534074,8.1341128825305,7.69551249882665,7.41850071120566,8.35426045837464,8.19103662491753,7.97416327981408,7.99676869002112,8.38275658777249,7.08689236206939,8.1084357826226,8.1467771520748,7.79040947516751,7.46002950214991,8.46593040248563,8.29381865661671,8.36039673983512,8.23395571122586,8.25291606369871,7.78292953155426,7.85028926718619,8.08756438362617,7.84795337015968,7.07463864720164,7.82284824463491,7.2774774133394,7.05281900971864
"SLC17A9","SLC17A9",181.852902750877,1.52210757835676,0.242100173905101,6.28709824452006,3.23454698149622e-10,1.87875851711502e-07,6.82896413570753,7.22824518895334,6.91366045259711,6.39167746018057,6.43995677025455,6.68667910619226,6.66711426842427,6.58035530411921,6.35676959595848,6.6471844998486,7.11950408897457,6.78957028008606,6.59147746774875,7.57874046867508,7.47363321844572,6.99765531915203,7.25228971764549,6.9152873604041,7.81334290619359,7.40928507057585,7.19857334149295,8.33582278343318,8.09522491692443,7.43192830628063,7.37299159356332,8.0149970423651,6.71245569949076,7.44173485260987,7.63246155887069,7.12421096580351,6.96887531194675,8.45011024260355,7.41809292818495,8.1206216656043,8.0041573641768,8.03279691036938,7.37740858170271,6.94606347223221,8.11777542309503,7.59813045066209,6.94269786526452,7.27862582884871,7.1288925793137,6.53508935660993
"POU2AF1","POU2AF1",327.928296118195,2.49140552954347,0.396494120289063,6.28358757937474,3.30847686399901e-10,1.87875851711502e-07,6.18496576084409,6.2871437415439,7.53983939712459,6.39523584536256,7.37939869810267,7.07164887747551,6.20378924973819,6.60242952805944,6.498090651562,6.79715544643458,7.92850125294431,6.24428303493558,6.58808667141234,7.58535319629166,7.34310677616648,6.44020747031503,6.31441227309003,6.9157436437592,8.46801957136586,7.60129651924613,6.46625493504352,9.46058513846606,9.18720083376613,8.4435452573461,8.3543094754515,9.09391968507938,7.32942462998399,8.48368776023288,8.65378452235166,7.98984122294558,7.64341144042669,9.34189540918138,8.86032547818804,8.85631610994437,9.0550611744648,9.03538236150405,8.36758418934785,7.94931839824521,8.24303067170173,8.44533918288787,7.28303347123048,8.23722707798535,7.85882802777503,7.03808861297895
"IRF4","IRF4",715.944786387018,2.09515207446702,0.334251706625348,6.26818661786342,3.65276861883638e-10,1.94627529322909e-07,8.03016534254265,7.84392488084217,9.02921882876056,7.88295314759784,8.52946885662223,8.76553046843262,7.9823847904625,8.07771492202404,8.03630826791658,7.91044675514795,8.24078901762113,8.07011903621643,7.71219292541715,9.03425864672469,9.15582075214651,8.2461381221204,7.90922945783434,8.09893312141996,9.45831811648257,8.88930466503968,7.85466077314064,10.4609560360187,10.0329709390248,9.5956446056795,9.3332608684509,10.9019884321709,8.62629876280574,9.88571899892924,9.97672483972527,8.98337454765338,8.82221171645459,10.7720645829598,10.0594297269934,9.81887441525802,9.62716824806598,9.72560744985975,8.78971830687494,8.7653870132462,9.66739221507347,9.731990290396,8.34486289272323,9.55527945921282,8.89549990302665,8.26267150862363
